"year","TAZ","count"
2020,14095100,401
2019,14095200,223
2020,14095200,249
2019,14096100,69
2020,14096100,62
2019,14096200,30
2020,14096200,32
2019,14097100,2303
2020,14097100,2274
2019,14097200,1381
2020,14097200,1402
2019,14098100,351
2020,14098100,342
2019,14098200,260
2020,14098200,279
2019,14099100,22
2020,14099100,18
2019,14100100,68
2020,14100100,66
2019,14101100,34
2020,14101100,34
2019,14101200,25
2020,14101200,25
2019,14102100,84
2020,14102100,84
2019,14103100,66
2020,14103100,66
2019,14104100,50
2020,14104100,46
2019,14105100,0
2020,14105100,0
2019,14105200,13
2020,14105200,13
2019,14106100,3
2020,14106100,3
2019,14106200,3
2020,14106200,3
2019,14106300,3
2020,14106300,3
2019,14106400,6
2020,14106400,6
2019,14106500,48
2020,14106500,49
2019,14107100,174
2020,14107100,165
2019,14107200,0
2020,14107200,0
2019,14108100,39
2020,14108100,35
2019,14109100,862
2020,14109100,847
2019,14109200,1512
2020,14109200,1494
2019,14109300,296
2020,14109300,298
2019,20211100,2059
2020,20211100,2027
2019,20212100,1683
2020,20212100,1678
2019,20212200,1640
2020,20212200,1613
2019,20213100,398
2020,20213100,414
2019,20213200,563
2020,20213200,561
2019,20213300,1399
2020,20213300,1415
2019,20214100,1240
2020,20214100,1247
2019,20214200,1248
2020,20214200,1276
2019,20214300,1181
2020,20214300,1200
2019,20214400,1234
2020,20214400,1225
2019,20214500,1308
2020,20214500,1348
2019,20214600,1162
2020,20214600,1169
2019,20214700,15
2020,20214700,92
2019,20215100,1021
2020,20215100,1005
2019,20215200,1914
2020,20215200,1900
2019,20215300,3910
2020,20215300,3910
2019,20216100,3387
2020,20216100,3382
2019,20216200,1986
2020,20216200,1965
2019,20216300,628
2020,20216300,639
2019,20216400,998
2020,20216400,1034
2019,20217100,876
2020,20217100,892
2019,20217200,1726
2020,20217200,1711
2019,20217300,2292
2020,20217300,2278
2019,20217400,1194
2020,20217400,1216
2019,20217500,1167
2020,20217500,1183
2019,20218100,942
2020,20218100,900
2019,20218200,5105
2020,20218200,5161
2019,20219100,1965
2020,20219100,1957
2019,20219200,4200
2020,20219200,4169
2019,20220100,2513
2020,20220100,2497
2019,20220200,1912
2020,20220200,1978
2019,20221100,2858
2020,20221100,2802
2019,20221200,2304
2020,20221200,2270
2019,20221300,2165
2020,20221300,2105
2019,20222100,984
2020,20222100,984
2019,20222200,2082
2020,20222200,2053
2019,20222300,2565
2020,20222300,2543
2019,20403200,2666
2020,20403200,2609
2019,20732100,1709
2020,20732100,1709
2019,20733100,1124
2020,20733100,1101
2019,20733200,1273
2020,20733200,1267
2019,20733300,2643
2020,20733300,2644
2019,20733400,839
2020,20733400,825
2019,20734100,1483
2020,20734100,1466
2019,20735100,1429
2020,20735100,1434
2019,20736100,723
2020,20736100,750
2019,20737100,1205
2020,20737100,1170
2019,20737200,1677
2020,20737200,1680
2019,20738100,3463
2020,20738100,3424
2019,20739100,3450
2020,20739100,3399
2019,20739200,1331
2020,20739200,1343
2019,20739300,1789
2020,20739300,1752
2019,20740100,3599
2020,20740100,3566
2019,20741100,3774
2020,20741100,3703
2019,20223100,2797
2020,20223100,2765
2019,20224100,3190
2020,20224100,3186
2019,20224200,6
2020,20224200,6
2019,20225100,12933
2020,20225100,12649
2019,20226100,13727
2020,20226100,14608
2019,20227100,7233
2020,20227100,7123
2019,20228100,0
2020,20228100,0
2019,20230100,5035
2020,20230100,5060
2019,20247100,6877
2020,20247100,6739
2019,20250100,1856
2020,20250100,1858
2019,20250200,2659
2020,20250200,2671
2019,20259100,2966
2020,20259100,2919
2019,20259200,4143
2020,20259200,4106
2019,20262100,4911
2020,20262100,4867
2019,20264100,177
2020,20264100,187
2019,20271100,492
2020,20271100,486
2019,20273100,380
2020,20273100,389
2019,20275100,0
2020,20275100,0
2019,20277100,128
2020,20277100,122
2019,20277200,3449
2020,20277200,3446
2019,20278100,2799
2020,20278100,2872
2019,20279100,21
2020,20279100,19
2019,20280100,327
2020,20280100,1334
2019,20281100,253
2020,20281100,251
2019,20281200,147
2020,20281200,141
2019,20281300,92
2020,20281300,76
2019,20281400,171
2020,20281400,179
2019,20282100,93
2020,20282100,86
2019,20283100,471
2020,20283100,467
2019,20284100,428
2020,20284100,416
2019,20284200,1594
2020,20284200,1565
2019,20285100,30
2020,20285100,26
2019,20285200,29
2020,20285200,28
2019,20285300,21
2020,20285300,19
2019,20286100,1
2020,20286100,1
2019,20286200,4
2020,20286200,4
2019,20286300,5
2020,20286300,5
2019,20286400,2
2020,20286400,2
2019,20286500,1
2020,20286500,8
2019,20287100,984
2020,20287100,971
2019,20287200,33
2020,20287200,30
2019,20288100,1404
2020,20288100,1373
2019,20288200,0
2020,20288200,0
2019,20288300,13
2020,20288300,7
2019,20288400,649
2020,20288400,670
2019,20288500,1339
2020,20288500,1333
2019,20288600,513
2020,20288600,506
2019,20288700,71
2020,20288700,68
2019,20316100,23
2020,20316100,22
2019,20316200,17
2020,20316200,16
2019,20316300,27
2020,20316300,21
2019,20316400,220
2020,20316400,221
2019,20316500,2
2020,20316500,4
2019,20316600,51
2020,20316600,56
2019,20324100,5
2020,20324100,5
2019,20324200,16
2020,20324200,13
2019,20324300,0
2020,20324300,0
2019,20324400,8
2020,20324400,8
2019,20324500,56
2020,20324500,39
2019,20329100,19
2020,20329100,18
2019,20329200,14
2020,20329200,17
2019,20329300,13
2020,20329300,11
2019,20329400,5
2020,20329400,5
2019,20329500,36
2020,20329500,30
2019,20329600,7
2020,20329600,5
2019,20330100,315
2020,20330100,300
2019,20330200,7
2020,20330200,7
2019,20330300,534
2020,20330300,557
2019,20330400,2005
2020,20330400,2049
2019,20330500,11
2020,20330500,14
2019,20330600,74
2020,20330600,89
2019,20330700,121
2020,20330700,127
2019,20330800,337
2020,20330800,343
2019,20330900,18
2020,20330900,18
2019,20331100,26
2020,20331100,26
2019,20331200,20
2020,20331200,20
2019,20332100,67
2020,20332100,42
2019,20332200,28
2020,20332200,32
2019,20332300,10
2020,20332300,6
2019,20332400,5
2020,20332400,5
2019,20332500,0
2020,20332500,0
2019,20332600,0
2020,20332600,0
2019,20333100,14
2020,20333100,14
2019,20333200,4
2020,20333200,3
2019,20333300,45
2020,20333300,43
2019,20333400,10
2020,20333400,10
2019,20333500,10
2020,20333500,10
2019,20333600,81
2020,20333600,73
2019,20333700,3
2020,20333700,3
2019,20333800,9
2020,20333800,8
2019,20333900,0
2020,20333900,0
2019,20334100,47
2020,20334100,56
2019,20334200,0
2020,20334200,0
2019,20334300,64
2020,20334300,68
2019,20334400,42
2020,20334400,43
2019,20334500,25
2020,20334500,25
2019,20334600,51
2020,20334600,51
2019,20334700,53
2020,20334700,48
2019,20334800,44
2020,20334800,60
2019,20334900,67
2020,20334900,62
2019,20335100,20
2020,20335100,17
2019,20335200,8
2020,20335200,11
2019,20335300,21
2020,20335300,21
2019,20335400,0
2020,20335400,0
2019,20335500,5
2020,20335500,1
2019,20335600,0
2020,20335600,0
2019,20336100,133
2020,20336100,137
2019,20336200,12
2020,20336200,16
2019,20336300,25
2020,20336300,19
2019,20336400,13
2020,20336400,12
2019,20336500,21
2020,20336500,23
2019,20336600,17
2020,20336600,16
2019,20336700,53
