"year","TAZ","count"
2019,20239200,0
2020,20239200,0
2019,20240100,0
2020,20240100,0
2019,20240200,0
2020,20240200,0
2019,20241100,0
2020,20241100,0
2019,20242100,0
2020,20242100,0
2019,20242200,1306
2020,20242200,1269
2019,20242300,0
2020,20242300,0
2019,20243100,352
2020,20243100,342
2019,20243200,0
2020,20243200,0
2019,20244100,3601
2020,20244100,3497
2019,20244200,10
2020,20244200,10
2019,20244300,626
2020,20244300,608
2019,20244400,0
2020,20244400,0
2019,20244500,0
2020,20244500,0
2019,20244600,608
2020,20244600,590
2019,20244700,0
2020,20244700,0
2019,20245100,556
2020,20245100,540
2019,20245200,0
2020,20245200,0
2019,20246100,0
2020,20246100,0
2019,20246200,0
2020,20246200,0
2019,20247100,869
2020,20247100,844
2019,20248100,624
2020,20248100,606
2019,20248200,379
2020,20248200,368
2019,20249100,517
2020,20249100,502
2019,20249200,0
2020,20249200,0
2019,20250100,0
2020,20250100,0
2019,20250200,0
2020,20250200,0
2019,20251100,0
2020,20251100,0
2019,20251200,0
2020,20251200,0
2019,20252100,875
2020,20252100,850
2019,20252200,0
2020,20252200,0
2019,20252300,0
2020,20252300,0
2019,20253100,0
2020,20253100,0
2019,20253200,0
2020,20253200,0
2019,20253300,2540
2020,20253300,2467
2019,20254100,865
2020,20254100,840
2019,20255100,2149
2020,20255100,2088
2019,20255200,1174
2020,20255200,1140
2019,20255300,0
2020,20255300,0
2019,20256100,0
2020,20256100,0
2019,20257100,0
2020,20257100,0
2019,20257200,6
2020,20257200,6
2019,20258100,547
2020,20258100,531
2019,20258200,2041
2020,20258200,1982
2019,20259100,729
2020,20259100,708
2019,20259200,0
2020,20259200,0
2019,20260100,611
2020,20260100,593
2019,20260200,0
2020,20260200,0
2019,20260300,0
2020,20260300,0
2019,20261100,418
2020,20261100,406
2019,20261200,1099
2020,20261200,1067
2019,20261300,0
2020,20261300,0
2019,20262100,746
2020,20262100,724
2019,20263100,392
2020,20263100,380
2019,20263200,506
2020,20263200,492
2019,20263300,0
2020,20263300,0
2019,20263400,0
2020,20263400,0
2019,20264100,0
2020,20264100,0
2019,20265100,1542
2020,20265100,1498
2019,20266100,423
2020,20266100,411
2019,20266200,0
2020,20266200,0
2019,20267100,0
2020,20267100,0
2019,20267200,0
2020,20267200,0
2019,20268100,511
2020,20268100,497
2019,20268200,50
2020,20268200,48
2019,20269100,0
2020,20269100,0
2019,20270100,1867
2020,20270100,1814
2019,20271100,0
2020,20271100,0
2019,20272100,631
2020,20272100,613
2019,20273100,0
2020,20273100,0
2019,20274100,611
2020,20274100,593
2019,20274200,428
2020,20274200,416
2019,20275100,0
2020,20275100,0
2019,20276100,0
2020,20276100,0
2019,20277100,0
2020,20277100,0
2019,20277200,0
2020,20277200,0
2019,20278100,0
2020,20278100,0
2019,20279100,74
2020,20279100,72
2019,20280100,18
2020,20280100,32
2019,20281100,0
2020,20281100,0
2019,20281200,0
2020,20281200,0
2019,20281300,0
2020,20281300,0
2019,20281400,0
2020,20281400,0
2019,20282100,0
2020,20282100,0
2019,20283100,0
2020,20283100,0
2019,20284100,180
2020,20284100,174
2019,20284200,0
2020,20284200,0
2019,20285100,0
2020,20285100,0
2019,20285200,0
2020,20285200,0
2019,20285300,0
2020,20285300,0
2019,20286100,0
2020,20286100,0
2019,20286200,0
2020,20286200,0
2019,20286300,0
2020,20286300,0
2019,20286400,0
2020,20286400,0
2019,20286500,0
2020,20286500,0
2019,20287100,0
2020,20287100,0
2019,20287200,0
2020,20287200,0
2019,20288100,87
2020,20288100,85
2019,20288200,0
2020,20288200,0
2019,20288300,0
2020,20288300,0
2019,20288400,0
2020,20288400,0
2019,20288500,0
2020,20288500,0
2019,20288600,0
2020,20288600,0
2019,20288700,0
2020,20288700,0
2019,20289100,0
2020,20289100,0
2019,20289200,0
2020,20289200,0
2019,20289300,0
2020,20289300,0
2019,20289400,0
2020,20289400,0
2019,20289500,0
2020,20289500,0
2019,20289600,0
2020,20289600,0
2019,20289700,876
2020,20289700,851
2019,20290100,0
2020,20290100,0
2019,20290200,0
2020,20290200,0
2019,20290300,0
2020,20290300,0
2019,20290400,0
2020,20290400,0
2019,20290500,0
2020,20290500,0
2019,20290600,0
2020,20290600,0
2019,20290700,0
2020,20290700,0
2019,20290800,0
2020,20290800,0
2019,20291100,0
2020,20291100,0
2019,20291200,0
2020,20291200,0
2019,20291300,0
2020,20291300,0
2019,20291400,0
2020,20291400,0
2019,20291500,0
2020,20291500,0
2019,20291600,0
