block_id,ln_total_hh,ln_total_jobs,ln_total_units,sum_acres,total_hh,total_jobs,total_units
060971534031018,0.0,0.0,1.0986122886681096,27.34020944633617,0.0,0.0,2.0
060971534032013,0.0,0.0,1.0986122886681096,3.2400428974562994,0.0,0.0,2.0
060971534032019,0.0,1.3862943611198906,0.6931471805599453,0.6580410491096801,0.0,3.0,1.0
060971534032021,0.0,1.0986122886681096,0.0,0.5001408499429187,0.0,2.0,0.0
060971536001006,0.0,0.0,0.6931471805599453,0.5421487276555156,0.0,0.0,1.0
060971534011002,0.0,5.214935757608986,1.791759469228055,4.37771506797863,0.0,183.0,5.0
060971534011003,0.0,3.6109179126442243,0.6931471805599453,25.620110406586836,0.0,36.0,1.0
060971534011004,0.0,0.0,1.0986122886681096,0.37461142713115847,0.0,0.0,2.0
060971534011005,2.0794415416798357,4.927253685157204,1.0986122886681096,43.80235540641386,7.0,137.0,2.0
060971534011006,3.4339872044851463,6.089044875446846,3.526360524616161,17.71645176754323,30.0,440.0,33.0
060971534011007,4.04305126783455,5.6937321388027,4.143134726391533,18.24155023895069,56.0,296.0,62.0
060971534011008,3.0910424533583156,0.0,3.1354942159291497,2.6699712863800578,21.0,0.0,22.0
060971534011009,2.995732273553991,0.0,3.0910424533583156,3.256846048541338,19.0,0.0,21.0
060971534011010,3.044522437723423,3.2580965380214817,2.995732273553991,5.017717440188195,20.0,25.0,19.0
060971534011011,2.995732273553991,2.5649493574615367,2.9444389791664403,4.7088359864191,19.0,12.0,18.0
060971534011012,1.791759469228055,1.0986122886681096,1.6094379124341003,0.4462719244055885,5.0,2.0,4.0
060971534011013,0.0,1.0986122886681096,0.6931471805599453,1.1295177001428267,0.0,2.0,1.0
060971534011014,1.9459101490553132,0.6931471805599453,1.791759469228055,3.058914812966102,6.0,1.0,5.0
060971534011015,3.0910424533583156,3.1780538303479453,3.1354942159291497,4.448634249764014,21.0,23.0,22.0
060971534011016,3.2188758248682006,0.0,3.1354942159291497,6.596719431855809,24.0,0.0,22.0
060971534011017,0.0,5.488937726156686,0.6931471805599453,6.601414429953099,0.0,241.0,1.0
060971534011018,3.0910424533583156,3.044522437723423,3.2188758248682006,4.111335702248162,21.0,20.0,24.0
060971534011019,2.4849066497880004,6.129050210060545,2.197224577336219,3.732276382182729,11.0,458.0,8.0
060971534011020,0.0,4.584967478670571,1.791759469228055,3.2563518382153074,0.0,97.0,5.0
060971534011021,0.0,1.9459101490553132,0.6931471805599453,0.11613942661717974,0.0,6.0,1.0
060971534011022,0.0,1.3862943611198906,0.6931471805599453,1.7065082557834963,0.0,3.0,1.0
060971534011023,1.6094379124341003,3.8501476017100584,2.0794415416798357,2.9682272181394955,4.0,46.0,7.0
060971534011024,0.0,3.1780538303479453,0.0,3.825187923476473,0.0,23.0,0.0
060971534011025,0.0,4.553876891600541,0.6931471805599453,7.77046895617837,0.0,94.0,1.0
060971534011026,1.6094379124341003,3.912023005428146,1.3862943611198906,3.6527085196918105,4.0,49.0,3.0
060971534011027,0.0,4.875197323201151,0.6931471805599453,2.167112279643971,0.0,130.0,1.0
060971534011028,0.0,1.0986122886681096,0.0,0.9325748852196517,0.0,2.0,0.0
060971534011029,2.772588722239781,4.820281565605037,2.9444389791664403,2.569893695358871,15.0,123.0,18.0
060971534011030,0.0,0.6931471805599453,0.6931471805599453,1.770755598167468,0.0,1.0,1.0
060971534011031,2.3025850929940455,3.4965075614664802,1.9459101490553132,4.561067098935965,9.0,32.0,6.0
060971534011032,1.3862943611198906,3.3672958299864737,1.3862943611198906,2.676890230944485,3.0,28.0,3.0
060971534011033,0.0,4.927253685157204,1.791759469228055,2.0727181073721352,0.0,137.0,5.0
060971534011034,3.044522437723423,2.3025850929940455,2.772588722239781,3.150096618118739,20.0,9.0,15.0
060971534011035,2.3025850929940455,5.921578419643815,2.3978952727983707,3.1985292300697328,9.0,372.0,10.0
060971534011036,0.0,2.995732273553991,1.791759469228055,0.5357239934171184,0.0,19.0,5.0
060971534012009,1.9459101490553132,0.6931471805599453,2.3025850929940455,3.6527085196918105,6.0,1.0,9.0
060971534012011,3.2580965380214817,1.6094379124341003,3.1780538303479453,4.649283642132419,25.0,4.0,23.0
060971534012012,4.31748811353631,5.53338948872752,4.770684624465664,8.117651710214833,74.0,252.0,117.0
060971534012014,2.70805020110221,4.110873864173311,2.0794415416798357,21.757115393169023,14.0,60.0,7.0
060971534012017,3.2580965380214817,2.772588722239781,3.332204510175204,6.912519830189332,25.0,15.0,27.0
060971534012018,3.4657359027997265,1.3862943611198906,3.5553480614894135,19.26110614155172,31.0,3.0,34.0
060971534012019,1.9459101490553132,0.6931471805599453,1.3862943611198906,0.3753527426202043,6.0,1.0,3.0
060971534013011,4.6913478822291435,4.663439094112067,4.787491742782046,27.873462388123137,108.0,105.0,119.0
060971534013012,0.0,0.6931471805599453,1.3862943611198906,0.07932075732790361,0.0,1.0,3.0
060971534013013,0.6931471805599453,0.0,0.6931471805599453,0.07388444374156754,1.0,0.0,1.0
060971534013014,3.737669618283368,4.276666119016055,3.784189633918261,8.720094097646076,41.0,71.0,43.0
060971534013015,2.5649493574615367,0.0,2.197224577336219,2.5348047622107015,12.0,0.0,8.0
